Wed Nov 30 03:40:08 2022    output.dat

         3241988 function calls (3236178 primitive calls) in 47.179 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1784    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_appearance_theme.py:98(check_need_to_rebuild_data_manually_changed)
     1936    0.001    0.000    0.002    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:39(loseTroops)
     1059    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:172(append)
   262/63    0.001    0.000    0.023    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:435(_parse_sub)
     1800    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
  1234/32    0.001    0.000    0.002    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:37(canMoveTroopsBetweenFriendlyTerriroriesAux)
     5368    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:920(get_image_clipping_rect)
   106/51    0.001    0.000    0.195    0.004 <frozen importlib._bootstrap>:1022(_find_and_load)
     1784    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:834(sprites)
      471    0.001    0.000    0.003    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\copy.py:66(copy)
     5379    0.001    0.000    0.001    0.000 {method 'copy' of 'pygame.Rect' objects}
    10116    0.001    0.000    0.001    0.000 {built-in method _operator.index}
     3568    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\drawable_shapes\drawable_shape.py:426(has_fresh_surface)
      250    0.001    0.000    0.056    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Game.py:130(goToNextPlayerRound)
      145    0.001    0.000    0.002    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\pathlib.py:56(parse_parts)
     7781    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      500    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
      324    0.001    0.000    0.026    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2118(distributions_from_metadata)
     1956    0.001    0.000    0.001    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:24(canAttack)
     1471    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
     8002    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
      338    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:474(_cmpkey)
      162    0.001    0.000    0.011    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2576(from_location)
        1    0.001    0.001    0.001    0.001 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\surface_cache.py:17(__init__)
     6504    0.001    0.000    0.001    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:105(<lambda>)
       20    0.001    0.000    0.001    0.000 {built-in method io.open}
      180    0.001    0.000    0.013    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2052(<genexpr>)
      155    0.001    0.000    0.013    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:25(sort_bsr_ascendant)
      784    0.001    0.000    0.013    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:80(rollDicesForAttackerAndDefender)
      479    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\genericpath.py:121(_splitext)
     4231    0.001    0.000    0.001    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:18(getNonDefendingTroops)
     2174    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sysfont.py:51(<genexpr>)
     5422    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     5016    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
     1215    0.001    0.000    0.001    0.000 {built-in method sys.intern}
      662    0.001    0.000    0.014    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:48(parse)
     1698    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
